customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,tenure_group,engagement_score,charges_per_month,recency,frequency,monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
CUST-00010,Female,0,Yes,Yes,8,No,No,No,No,No,Yes,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,105.64,848.13,1,0-12 months,2,106.01625,63,2,848.13,1,1,2,4,At Risk
CUST-00011,Male,0,No,No,54,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),72.41,3926.92,0,48+ months,6,72.72074074074074,17,6,3926.92,5,5,5,15,Champions
CUST-00012,Female,0,Yes,No,43,Yes,No,Fiber optic,No internet service,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),105.73,4465.6,0,24-48 months,3,103.85116279069769,28,3,4465.6,5,2,5,12,Champions
CUST-00013,Male,0,Yes,Yes,9,Yes,No,DSL,Yes,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),79.59,828.95,0,0-12 months,4,92.10555555555555,62,4,828.95,1,3,2,6,Potential Loyalists
CUST-00014,Male,0,Yes,No,3,Yes,No,DSL,No,No,Yes,No,No internet service,Yes,Month-to-month,No,Mailed check,73.12,167.74,0,0-12 months,3,55.913333333333334,68,3,167.74,1,2,1,4,At Risk
CUST-00015,Female,0,Yes,No,19,Yes,Yes,No,No internet service,No internet service,No,Yes,No internet service,No internet service,Month-to-month,Yes,Electronic check,96.29,1767.34,1,12-24 months,3,93.0178947368421,52,3,1767.34,3,2,4,9,Loyal Customers
CUST-00016,Male,0,No,No,23,Yes,Yes,DSL,No,No,No,No internet service,No,No,Month-to-month,No,Mailed check,109.08,2539.9,1,12-24 months,2,110.4304347826087,48,2,2539.9,3,1,5,9,Loyal Customers
CUST-00017,Male,0,Yes,No,9,Yes,No,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,72.29,659.18,0,0-12 months,4,73.24222222222221,62,4,659.18,1,3,2,6,Potential Loyalists
CUST-00018,Male,0,Yes,No,22,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),45.72,929.2,0,12-24 months,4,42.23636363636364,49,4,929.2,3,3,2,8,Potential Loyalists
CUST-00019,Female,1,Yes,Yes,18,No,No phone service,Fiber optic,Yes,No internet service,No,Yes,No internet service,Yes,Month-to-month,No,Electronic check,68.16,1184.01,1,12-24 months,3,65.77833333333334,53,3,1184.01,2,2,3,7,Potential Loyalists
CUST-00020,Female,0,No,No,31,Yes,No,DSL,No,No,Yes,No,Yes,No internet service,One year,Yes,Electronic check,80.08,2462.27,0,24-48 months,3,79.42806451612903,40,3,2462.27,4,2,4,10,Loyal Customers
CUST-00021,Female,1,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,65.83,28.67,0,0-12 months,2,28.67,70,2,28.67,1,1,1,3,Lost
CUST-00022,Male,0,No,Yes,2,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,61.0,131.82,0,0-12 months,4,65.91,69,4,131.82,1,3,1,5,At Risk
CUST-00023,Female,0,Yes,No,14,Yes,No phone service,DSL,Yes,No,Yes,No,No internet service,No,Month-to-month,No,Bank transfer (automatic),49.46,738.99,0,12-24 months,3,52.785000000000004,57,3,738.99,2,2,2,6,Potential Loyalists
CUST-00024,Male,0,No,Yes,14,Yes,No,Fiber optic,No internet service,Yes,Yes,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,86.63,1322.73,1,12-24 months,3,94.48071428571428,57,3,1322.73,2,2,3,7,Potential Loyalists
CUST-00025,Female,1,Yes,No,47,Yes,Yes,Fiber optic,No,No,No,No internet service,Yes,No internet service,One year,No,Credit card (automatic),48.26,2191.69,0,24-48 months,3,46.63170212765957,24,3,2191.69,5,2,4,11,Loyal Customers
CUST-00026,Male,0,No,No,26,Yes,No,DSL,No,No internet service,No,No internet service,No,No,Month-to-month,Yes,Electronic check,37.89,981.83,0,24-48 months,1,37.76269230769231,45,1,981.83,4,1,2,7,Potential Loyalists
CUST-00027,Female,0,No,No,26,Yes,No,DSL,No,No,No,No,No,No internet service,Month-to-month,No,Electronic check,38.62,1008.35,1,24-48 months,1,38.78269230769231,45,1,1008.35,4,1,2,7,Potential Loyalists
CUST-00028,Female,0,No,No,19,Yes,No,Fiber optic,Yes,No internet service,No,No,No,No internet service,One year,No,Electronic check,98.6,1876.96,1,12-24 months,2,98.78736842105263,52,2,1876.96,3,1,4,8,Potential Loyalists
CUST-00029,Female,1,Yes,No,16,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.63,1300.05,1,12-24 months,2,81.253125,55,2,1300.05,2,1,3,6,Potential Loyalists
CUST-00030,Female,0,Yes,No,40,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,One year,Yes,Electronic check,26.68,1071.35,0,24-48 months,6,26.783749999999998,31,6,1071.35,5,5,3,13,Champions
CUST-00031,Male,0,Yes,No,26,Yes,Yes,No,Yes,No,No,Yes,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),21.96,629.03,0,24-48 months,4,24.193461538461538,45,4,629.03,4,3,2,9,Loyal Customers
CUST-00032,Male,0,No,Yes,15,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,59.48,911.56,0,12-24 months,3,60.77066666666666,56,3,911.56,2,2,2,6,Potential Loyalists
CUST-00033,Female,0,No,No,41,Yes,No,DSL,No internet service,No,Yes,No,No,No internet service,Two year,No,Credit card (automatic),76.72,3069.9,0,24-48 months,2,74.87560975609756,30,2,3069.9,5,1,5,11,Loyal Customers
CUST-00034,Female,0,No,No,53,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,No,Two year,No,Mailed check,105.47,5524.03,0,48+ months,3,104.22698113207547,18,3,5524.03,5,2,5,12,Champions
CUST-00035,Female,0,Yes,Yes,53,Yes,Yes,Fiber optic,No,No,No internet service,No,No,Yes,Two year,Yes,Electronic check,68.83,3693.37,0,48+ months,3,69.68622641509434,18,3,3693.37,5,2,5,12,Champions
CUST-00036,Male,0,No,No,29,Yes,No,DSL,No internet service,No,No internet service,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,97.17,2842.58,1,24-48 months,3,98.02,42,3,2842.58,4,2,5,11,Loyal Customers
CUST-00037,Male,1,Yes,No,24,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,81.77,1948.68,1,12-24 months,4,81.19500000000001,47,4,1948.68,3,3,4,10,Loyal Customers
CUST-00038,Male,0,No,No,20,Yes,Yes,Fiber optic,No,No,No internet service,No,No,No,One year,Yes,Electronic check,37.05,764.61,0,12-24 months,2,38.2305,51,2,764.61,3,1,2,6,Potential Loyalists
CUST-00039,Male,1,No,No,23,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),63.9,1500.29,1,12-24 months,5,65.23,48,5,1500.29,3,5,3,11,Loyal Customers
CUST-00040,Male,0,No,No,15,Yes,No phone service,DSL,No,No,Yes,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),20.7,361.05,0,12-24 months,4,24.07,56,4,361.05,2,3,1,6,Potential Loyalists
CUST-00041,Male,0,No,No,19,Yes,Yes,Fiber optic,No,No internet service,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,20.53,378.51,0,12-24 months,2,19.92157894736842,52,2,378.51,3,1,1,5,At Risk
CUST-00042,Male,0,Yes,No,8,Yes,No,DSL,No,No,Yes,No,No internet service,No,Month-to-month,No,Mailed check,85.13,720.88,1,0-12 months,2,90.11,63,2,720.88,1,1,2,4,At Risk
CUST-00043,Female,0,Yes,No,60,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Electronic check,38.8,2321.62,0,48+ months,5,38.693666666666665,11,5,2321.62,5,5,4,14,Champions
CUST-00044,Female,0,Yes,No,2,Yes,Yes,No,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,35.12,0.0,0,0-12 months,4,0.0,69,4,0.0,1,3,1,5,At Risk
CUST-00045,Male,0,No,No,46,Yes,No,DSL,No,No internet service,No,No,Yes,No internet service,One year,Yes,Bank transfer (automatic),61.25,2836.9,0,24-48 months,2,61.67173913043479,25,2,2836.9,5,1,5,11,Loyal Customers
CUST-00046,Female,0,Yes,No,10,Yes,No,DSL,Yes,No internet service,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,54.49,608.21,1,0-12 months,4,60.821000000000005,61,4,608.21,1,3,2,6,Potential Loyalists
CUST-00047,Male,0,No,No,3,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,61.89,224.65,1,0-12 months,6,74.88333333333334,68,6,224.65,1,5,1,7,Potential Loyalists
CUST-00048,Male,0,Yes,No,23,Yes,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,39.19,961.34,1,12-24 months,4,41.797391304347826,48,4,961.34,3,3,2,8,Potential Loyalists
CUST-00049,Male,0,No,Yes,17,Yes,No,Fiber optic,No,No internet service,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,82.85,1417.26,1,12-24 months,4,83.36823529411765,54,4,1417.26,2,3,3,8,Potential Loyalists
CUST-00050,Female,0,No,Yes,30,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,No,Yes,Two year,Yes,Bank transfer (automatic),45.77,1330.86,0,24-48 months,4,44.361999999999995,41,4,1330.86,4,3,3,10,Loyal Customers
CUST-00051,Male,0,No,No,43,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),43.74,1890.48,0,24-48 months,4,43.964651162790695,28,4,1890.48,5,3,4,12,Champions
CUST-00052,Male,0,No,Yes,29,Yes,No,Fiber optic,Yes,No,No internet service,No internet service,No,Yes,Two year,Yes,Bank transfer (automatic),34.41,979.17,0,24-48 months,3,33.76448275862069,42,3,979.17,4,2,2,8,Potential Loyalists
CUST-00053,Male,0,No,No,36,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),55.46,2012.95,0,24-48 months,6,55.91527777777778,35,6,2012.95,4,5,4,13,Champions
CUST-00054,Male,0,Yes,No,39,No,No,Fiber optic,No,No,No,Yes,No internet service,Yes,One year,No,Mailed check,46.2,1804.74,0,24-48 months,2,46.27538461538462,32,2,1804.74,5,1,4,10,Loyal Customers
CUST-00055,Female,1,No,No,36,Yes,Yes,DSL,No internet service,Yes,Yes,No,No internet service,Yes,Two year,No,Electronic check,105.19,3838.29,1,24-48 months,5,106.61916666666667,35,5,3838.29,4,5,5,14,Champions
CUST-00056,Female,0,Yes,No,10,Yes,No,DSL,No,No internet service,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,100.88,939.64,0,0-12 months,3,93.964,61,3,939.64,1,2,2,5,At Risk
CUST-00057,Female,0,Yes,No,29,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,21.02,492.71,0,24-48 months,4,16.99,42,4,492.71,4,3,1,8,Potential Loyalists
CUST-00058,Female,0,No,No,1,Yes,No,Fiber optic,Yes,No internet service,No,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),23.8,27.73,1,0-12 months,2,27.73,70,2,27.73,1,1,1,3,Lost
CUST-00059,Female,0,Yes,No,4,Yes,No,DSL,No internet service,No,No,No internet service,Yes,Yes,Month-to-month,No,Bank transfer (automatic),38.55,136.41,1,0-12 months,3,34.1025,67,3,136.41,1,2,1,4,At Risk
CUST-00060,Male,0,No,No,1,Yes,Yes,No,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,Yes,Electronic check,35.28,9.32,1,0-12 months,4,9.32,70,4,9.32,1,3,1,5,At Risk
CUST-00061,Female,0,Yes,No,17,Yes,No,DSL,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Credit card (automatic),96.95,1612.82,1,12-24 months,3,94.87176470588236,54,3,1612.82,2,2,3,7,Potential Loyalists
CUST-00062,Female,1,Yes,No,29,Yes,No,Fiber optic,Yes,No internet service,No,No,No internet service,Yes,Two year,No,Credit card (automatic),45.77,1325.53,0,24-48 months,3,45.707931034482755,42,3,1325.53,4,2,3,9,Loyal Customers
CUST-00063,Female,0,No,No,17,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),68.51,1185.29,1,12-24 months,3,69.72294117647058,54,3,1185.29,2,2,3,7,Potential Loyalists
CUST-00064,Female,0,Yes,No,7,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,28.03,223.71,0,0-12 months,6,31.958571428571428,64,6,223.71,1,5,1,7,Potential Loyalists
CUST-00065,Female,0,No,No,23,Yes,Yes,DSL,No,No,Yes,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),107.72,2335.13,0,12-24 months,3,101.52739130434783,48,3,2335.13,3,2,4,9,Loyal Customers
CUST-00066,Female,0,Yes,No,20,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Month-to-month,No,Electronic check,96.91,1933.02,0,12-24 months,4,96.651,51,4,1933.02,3,3,4,10,Loyal Customers
CUST-00067,Male,0,Yes,No,51,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,101.6,5092.46,0,48+ months,5,99.8521568627451,20,5,5092.46,5,5,5,15,Champions
CUST-00068,Female,0,No,No,13,Yes,No,DSL,No,No,No internet service,No internet service,Yes,No internet service,Month-to-month,No,Mailed check,83.25,1126.77,1,12-24 months,2,86.67461538461538,58,2,1126.77,2,1,3,6,Potential Loyalists
CUST-00069,Male,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,No,Electronic check,46.06,1597.14,0,24-48 months,5,46.97470588235294,37,5,1597.14,4,5,3,12,Champions
CUST-00070,Female,0,Yes,Yes,22,Yes,No,DSL,No internet service,Yes,No internet service,No,No internet service,No internet service,One year,No,Bank transfer (automatic),71.59,1521.69,0,12-24 months,2,69.16772727272728,49,2,1521.69,3,1,3,7,Potential Loyalists
CUST-00071,Male,0,No,No,28,Yes,Yes,DSL,Yes,No internet service,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,105.56,2960.11,0,24-48 months,4,105.7182142857143,43,4,2960.11,4,3,5,12,Champions
CUST-00072,Male,0,No,Yes,19,Yes,Yes,DSL,No,No,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,69.95,1228.89,0,12-24 months,3,64.67842105263158,52,3,1228.89,3,2,3,8,Potential Loyalists
CUST-00073,Male,0,Yes,No,59,Yes,No,DSL,No internet service,No internet service,No,Yes,No,No,Two year,No,Mailed check,101.39,6003.85,0,48+ months,2,101.76016949152543,12,2,6003.85,5,1,5,11,Loyal Customers
CUST-00074,Female,0,No,No,39,Yes,No,DSL,No,Yes,Yes,Yes,No internet service,No internet service,One year,Yes,Mailed check,72.33,2843.44,0,24-48 months,4,72.90871794871795,32,4,2843.44,5,3,5,13,Champions
CUST-00075,Male,0,No,No,21,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,One year,Yes,Mailed check,76.97,1654.27,0,12-24 months,4,78.7747619047619,50,4,1654.27,3,3,4,10,Loyal Customers
CUST-00076,Female,0,Yes,No,33,Yes,Yes,Fiber optic,No internet service,No,No,No internet service,Yes,No,One year,Yes,Credit card (automatic),52.87,1775.79,0,24-48 months,3,53.81181818181818,38,3,1775.79,4,2,4,10,Loyal Customers
CUST-00077,Male,1,No,Yes,27,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,80.52,2147.12,0,24-48 months,6,79.52296296296296,44,6,2147.12,4,5,4,13,Champions
CUST-00078,Male,0,No,Yes,22,Yes,No,No,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Credit card (automatic),65.54,1390.43,1,12-24 months,2,63.20136363636364,49,2,1390.43,3,1,3,7,Potential Loyalists
CUST-00079,Female,0,Yes,Yes,15,Yes,No,DSL,No internet service,No internet service,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),77.79,1132.03,1,12-24 months,4,75.46866666666666,56,4,1132.03,2,3,3,8,Potential Loyalists
CUST-00080,Male,0,No,No,25,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,Yes,Two year,Yes,Mailed check,91.28,2275.73,1,24-48 months,5,91.0292,46,5,2275.73,3,5,4,12,Champions
CUST-00081,Female,0,Yes,No,35,Yes,Yes,DSL,No,No,No internet service,No internet service,No,No,One year,No,Credit card (automatic),44.67,1500.26,0,24-48 months,2,42.86457142857143,36,2,1500.26,4,1,3,8,Potential Loyalists
CUST-00082,Male,0,No,No,27,No,No,No,No,No internet service,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),87.0,2331.7,0,24-48 months,2,86.35925925925925,44,2,2331.7,4,1,4,9,Loyal Customers
CUST-00083,Female,0,Yes,No,28,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,79.63,2212.35,1,24-48 months,3,79.0125,43,3,2212.35,4,2,4,10,Loyal Customers
CUST-00084,Male,0,Yes,No,9,Yes,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,31.63,340.55,1,0-12 months,2,37.83888888888889,62,2,340.55,1,1,1,3,Lost
CUST-00085,Male,0,No,No,20,Yes,No,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),25.13,526.13,0,12-24 months,3,26.3065,51,3,526.13,3,2,1,6,Potential Loyalists
CUST-00086,Male,0,No,No,25,Yes,No,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,49.86,1210.53,0,24-48 months,2,48.4212,46,2,1210.53,3,1,3,7,Potential Loyalists
CUST-00087,Male,0,No,No,47,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,No,Electronic check,77.36,3650.51,0,24-48 months,2,77.6704255319149,24,2,3650.51,5,1,5,11,Loyal Customers
CUST-00088,Male,1,Yes,No,35,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,No,Credit card (automatic),29.78,1063.34,0,24-48 months,4,30.381142857142855,36,4,1063.34,4,3,3,10,Loyal Customers
CUST-00089,Male,1,No,Yes,12,Yes,No,DSL,No internet service,Yes,Yes,Yes,Yes,No internet service,Month-to-month,No,Mailed check,78.64,856.92,0,0-12 months,5,71.41,59,5,856.92,2,5,2,9,Loyal Customers
CUST-00090,Male,0,No,Yes,10,Yes,No,DSL,Yes,No,No,No internet service,No,No,Month-to-month,Yes,Bank transfer (automatic),64.98,753.59,1,0-12 months,2,75.35900000000001,61,2,753.59,1,1,2,4,At Risk
CUST-00091,Male,0,No,No,23,Yes,Yes,No,No,No internet service,Yes,Yes,No,No internet service,One year,No,Mailed check,90.26,2066.87,0,12-24 months,4,89.86391304347826,48,4,2066.87,3,3,4,10,Loyal Customers
CUST-00092,Male,0,Yes,No,41,No,No,DSL,No,No,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),75.86,3065.22,0,24-48 months,2,74.76146341463414,30,2,3065.22,5,1,5,11,Loyal Customers
CUST-00093,Female,0,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,Yes,No,One year,No,Bank transfer (automatic),71.0,2983.01,0,24-48 months,5,71.02404761904762,29,5,2983.01,5,5,5,15,Champions
CUST-00094,Female,0,No,No,15,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No internet service,One year,Yes,Electronic check,107.23,1562.51,1,12-24 months,4,104.16733333333333,56,4,1562.51,2,3,3,8,Potential Loyalists
CUST-00095,Female,1,No,Yes,6,Yes,Yes,Fiber optic,No,No,Yes,No internet service,No,No,Month-to-month,Yes,Electronic check,30.74,96.47,0,0-12 months,3,16.078333333333333,65,3,96.47,1,2,1,4,At Risk
CUST-00096,Male,1,No,No,7,Yes,No phone service,Fiber optic,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Credit card (automatic),56.07,420.65,1,0-12 months,3,60.09285714285714,64,3,420.65,1,2,1,4,At Risk
CUST-00097,Male,1,Yes,No,17,Yes,No phone service,Fiber optic,No internet service,No,Yes,No internet service,Yes,No,Month-to-month,Yes,Electronic check,49.55,844.47,0,12-24 months,3,49.674705882352946,54,3,844.47,2,2,2,6,Potential Loyalists
CUST-00098,Male,0,Yes,No,6,Yes,Yes,Fiber optic,No,No internet service,No,No,No,Yes,Month-to-month,No,Electronic check,31.96,204.82,1,0-12 months,3,34.13666666666666,65,3,204.82,1,2,1,4,At Risk
CUST-00099,Female,0,Yes,Yes,8,Yes,Yes,No,No,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),61.18,404.87,1,0-12 months,6,50.60875,63,6,404.87,1,5,1,7,Potential Loyalists
CUST-00100,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),77.13,948.35,1,0-12 months,5,79.02916666666667,59,5,948.35,2,5,2,9,Loyal Customers
CUST-00101,Female,1,No,No,38,Yes,No phone service,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Mailed check,93.41,3538.23,0,24-48 months,3,93.11131578947368,33,3,3538.23,4,2,5,11,Loyal Customers
CUST-00102,Male,1,No,No,14,Yes,Yes,Fiber optic,No,No,No,Yes,No internet service,No internet service,Month-to-month,Yes,Mailed check,35.07,428.31,0,12-24 months,3,30.59357142857143,57,3,428.31,2,2,1,5,At Risk
CUST-00103,Male,0,No,No,12,Yes,No,DSL,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Credit card (automatic),105.04,1214.98,1,0-12 months,3,101.24833333333333,59,3,1214.98,2,2,3,7,Potential Loyalists
CUST-00104,Male,0,No,No,30,Yes,Yes,No,No,No,Yes,Yes,No,No internet service,Two year,Yes,Bank transfer (automatic),33.21,1074.91,0,24-48 months,4,35.830333333333336,41,4,1074.91,4,3,3,10,Loyal Customers
CUST-00105,Female,0,No,No,10,Yes,No phone service,No,Yes,Yes,No,No,No internet service,Yes,Month-to-month,Yes,Electronic check,38.24,360.55,1,0-12 months,4,36.055,61,4,360.55,1,3,1,5,At Risk
CUST-00106,Female,0,No,Yes,22,Yes,No,DSL,Yes,Yes,No,No,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),39.57,946.91,0,12-24 months,3,43.041363636363634,49,3,946.91,3,2,2,7,Potential Loyalists
CUST-00107,Female,0,Yes,No,43,Yes,No,No,No,No,No,Yes,No internet service,Yes,One year,Yes,Mailed check,30.32,1255.83,0,24-48 months,3,29.2053488372093,28,3,1255.83,5,2,3,10,Loyal Customers
CUST-00108,Female,0,Yes,No,15,Yes,No,DSL,No,No internet service,No internet service,Yes,No,No internet service,Month-to-month,No,Bank transfer (automatic),79.35,1161.53,0,12-24 months,2,77.43533333333333,56,2,1161.53,2,1,3,6,Potential Loyalists
CUST-00109,Male,0,No,No,7,Yes,Yes,DSL,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,Yes,Electronic check,25.67,158.9,0,0-12 months,4,22.7,64,4,158.9,1,3,1,5,At Risk
CUST-00110,Male,0,Yes,No,26,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Electronic check,98.82,2608.06,0,24-48 months,3,100.31,45,3,2608.06,4,2,5,11,Loyal Customers
CUST-00111,Male,1,Yes,No,9,Yes,Yes,Fiber optic,Yes,Yes,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,60.71,558.8,1,0-12 months,5,62.08888888888888,62,5,558.8,1,5,1,7,Potential Loyalists
CUST-00112,Female,0,No,No,51,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Two year,No,Electronic check,84.87,4336.79,0,48+ months,4,85.03509803921568,20,4,4336.79,5,3,5,13,Champions
CUST-00113,Male,0,No,No,67,Yes,No phone service,No,No,No internet service,No,No,No,Yes,Two year,Yes,Credit card (automatic),101.6,6859.07,0,48+ months,2,102.3741791044776,4,2,6859.07,5,1,5,11,Loyal Customers
CUST-00114,Female,1,Yes,No,28,No,No,Fiber optic,Yes,No internet service,Yes,No internet service,Yes,No internet service,One year,No,Bank transfer (automatic),59.07,1684.28,0,24-48 months,3,60.152857142857144,43,3,1684.28,4,2,4,10,Loyal Customers
CUST-00115,Female,0,Yes,No,61,Yes,No,DSL,Yes,No,No,No,No,No,Two year,Yes,Electronic check,104.31,6294.9,0,48+ months,2,103.19508196721311,10,2,6294.9,5,1,5,11,Loyal Customers
